Five-Digit ZIP Code,Year,Annual Change (%),HPI
20001,2018,5.24,1255.38
20002,2018,8.86,1662.06
20003,2018,1.79,1119.11
20007,2018,3.56,1111.88
20008,2018,12.89,590.61
20009,2018,-0.35,996.43
20010,2018,-1.72,1132.62
20011,2018,6.06,1495.6
20012,2018,2.95,997.67
20015,2018,2.54,1220.05
20016,2018,2.34,1141.56
20017,2018,5.29,961.68
20018,2018,10.09,713.74
20019,2018,7.23,768.86
20020,2018,8.55,930.4
20024,2018,17.21,543.08
20032,2018,12.7,359.33
20105,2018,15.58,209.96
20106,2018,3.75,211.48
20109,2018,4.28,319.15
20110,2018,1.94,630.43
20111,2018,5.18,568.11
20112,2018,2.55,551.98
20115,2018,4.59,223.28
20117,2018,13.03,206.92
20119,2018,8.36,226.09
20120,2018,4.01,444.91
20121,2018,8.37,317.92
20124,2018,0.54,388.03
20129,2018,0,168.61
20132,2018,3.81,218
20135,2018,-3.08,174.66
20136,2018,0.91,211.34
20137,2018,6.87,211.65
20141,2018,5.01,215.91
20143,2018,1.87,186.43
20144,2018,0,149.74
20147,2018,5.49,253.05
20151,2018,3.56,540.6
20155,2018,4.52,314.41
20158,2018,7.14,300.37
20164,2018,3.92,675.13
20165,2018,1.74,355.2
20169,2018,9.19,639.27
20170,2018,3.7,736.47
20171,2018,6.51,843.14
20175,2018,6.18,357.93
20176,2018,1.57,321.89
20180,2018,3.26,188.39
20181,2018,5.2,376.28
20186,2018,3.88,314.44
20187,2018,0.78,240.17
20191,2018,1.4,801.78
20194,2018,0,387.11
20197,2018,-0.31,178.56
20198,2018,6.57,208.96
20601,2018,4.11,247.61
20602,2018,8.57,509.94
20603,2018,1.01,219.54
20607,2018,8.14,280.13
20609,2018,2.05,125.51
20611,2018,8.81,188.2
20613,2018,-3.45,278.04
20616,2018,11.64,175.88
20619,2018,9.41,161.72
20620,2018,-1.8,163.51
20622,2018,-4.22,168.2
20623,2018,7.65,200.6
20634,2018,-0.24,156.5
20636,2018,6.94,184.46
20637,2018,2.23,161.27
20639,2018,-0.64,393.4
20640,2018,7.78,181.65
20646,2018,2.78,362.97
20650,2018,2.68,183.67
20653,2018,3.72,159.94
20657,2018,1.44,225.48
20659,2018,0.11,182.49
20662,2018,7.25,193.45
20664,2018,4.58,184.57
20674,2018,10.99,129.93
20675,2018,18.03,198.4
20676,2018,4.07,200.73
20677,2018,-5.38,158.55
20678,2018,3.75,301.05
20684,2018,-13.4,123.96
20685,2018,0.27,201.19
20689,2018,-17.05,226.57
20693,2018,4.16,178.56
20695,2018,-5.08,166.74
20705,2018,8.23,546.4
